,player_team,player_name,player_minute,difference_ec_mean
11,Real Madrid,Antonio Rüdiger,1570,-0.2725308508763978
123,Mallorca,Matija Nastasic,1177,-0.2732255478174012
199,Barcelona,Ronald Araújo,1021,-0.2758091275398625
202,Atlético de Madrid,Stefan Savic,724,-0.2787081421922455
106,Getafe,Domingos Duarte,759,-0.2791515883560295
294,Alavés,Nahuel Tenaglia,292,-0.2811722236133424
1,Barcelona,Jules Koundé,1251,-0.2840820429300392
333,Girona,Juanpe,275,-0.2860683388759578
29,Las Palmas,Saúl Coco,1206,-0.2891003440938988
216,Almería,Edgar González,1309,-0.2894212339024806
213,Athletic Club,Aitor Paredes,1606,-0.2916124387947716
41,Valencia CF,Cristhian Mosquera,1364,-0.2986872660400662
182,Sevilla,Loïc Badé,952,-0.3000619515449998
53,Mallorca,Siebe Van der Heyden,274,-0.3041523685832293
191,Granada CF,Ignasi Miquel,1665,-0.3062971813381149
19,Cádiz,Luis Hernández,632,-0.3102835623448062
162,Sevilla,Nemanja Gudelj,1378,-0.3113133032021785
352,Rayo Vallecano,Florian Lejeune,1708,-0.3120079512641547
245,Celta de Vigo,Joseph Aidoo,407,-0.312382554480212
311,Barcelona,Íñigo Martínez,543,-0.3137685364081473
397,Osasuna,David García,1620,-0.31404377049386
369,Almería,Chumi,1384,-0.3156924316552211
366,Valencia CF,Mouctar Diakhaby,892,-0.3179988052136057
337,Atlético de Madrid,Axel Witsel,1550,-0.322617899260379
184,Osasuna,Jorge Herrando,215,-0.3255996437601096
176,Las Palmas,Mika Mármol,1490,-0.3300646555457628
308,Valencia CF,Cenk Özkacar,587,-0.3320558331736252
264,Barcelona,Eric García,1279,-0.3351689851776919
391,Girona,David López,1193,-0.3369566335438702
295,Villarreal,Aïssa Mandi,645,-0.3374130337839763
60,Valencia CF,Gabriel Paulista,1151,-0.3606175945974778
35,Barcelona,Andreas Christensen,1093,-0.366070529468245
198,Girona,Daley Blind,1711,-0.3677693030131849
135,Real Sociedad,Igor Zubeldia,1591,-0.3748830278025212
118,Almería,Kaiky,430,-0.3777787160712031
156,Real Sociedad,Robin Le Normand,1407,-0.3981972018733173
205,Villarreal,Matteo Gabbia,478,-0.4002779764642494
246,Granada CF,Raúl Torrente,1033,-0.4056708219713592
196,Real Sociedad,Jon Pacheco,344,-0.421586937416222
