,player_team,player_name,player_minute,pass_ec_mean
423,Real Madrid,Nacho,584,0.2720197009035244
316,Cádiz,Fali,1519,0.2717284988063142
220,Alavés,Aleksandar Sedlar,948,0.2704696948981854
120,Almería,Sergio Akieme,1530,0.2701380992833237
400,Girona,Miguel Gutiérrez,1682,0.2690234726632992
77,Sevilla,Adrià Pedrosa,1157,0.2684588526876262
401,Real Madrid,Ferland Mendy,725,0.2653418727020881
315,Rayo Vallecano,Abdul Mumin,795,0.2646977872448573
21,Getafe,Juan Iglesias,797,0.2638711380781537
126,Rayo Vallecano,Aridane Hernández,881,0.2634432519448038
215,Villarreal,Adrià Alti,723,0.2625803489881954
267,Mallorca,Copete,546,0.2610645714391286
142,Celta de Vigo,Carl Starfelt,1359,0.2582626070318344
292,Cádiz,Javi Hernández,1401,0.2580362361092776
378,Granada CF,Ricard Sánchez,1355,0.2558448696042402
263,Real Betis,Luiz Felipe,360,0.2556037208872361
254,Getafe,Omar Alderete,638,0.2546460506041854
303,Cádiz,Victor Chust,362,0.2543542184547241
256,Villarreal,Alfonso Pedraza,894,0.2542490830399828
334,Real Betis,Youssouf Sabaly,270,0.2538260988940684
296,Cádiz,Iza Carcelén,1498,0.2494113442226851
97,Granada CF,Wilson Manafá,241,0.2408749891004832
353,Rayo Vallecano,Iván Balliu,1432,0.2407685127592567
188,Atlético de Madrid,Yannick Carrasco,223,0.2390790495467807
240,Celta de Vigo,Carlos Domínguez,492,0.2369343306677608
284,Barcelona,Alejandro Balde,1288,0.2366868506546695
326,Rayo Vallecano,Andrei Ratiu,260,0.2333001228240578
72,Getafe,Gastón Álvarez,1420,0.2213304803470892
141,Las Palmas,Álex Suárez,1191,0.2210173949702796
335,Villarreal,Alberto Moreno,599,0.2199384025071939
195,Atlético de Madrid,José Giménez,651,0.218627899560602
367,Valencia CF,Yarek Gasiorowski,273,0.2179206004865262
410,Alavés,Abdelkabir Abqar,1255,0.2122682907719517
305,Las Palmas,Julián Araujo,995,0.2006230057498486
64,Getafe,Stefan Mitrovic,700,0.2002497324110605
