,player_team,player_name,player_minute,xthreat_ec_mean
64,Getafe,Stefan Mitrovic,700,0.0358497869141592
337,Atlético de Madrid,Axel Witsel,1550,0.0354357106211179
26,Athletic Club,Imanol García de Albéniz,259,0.0350741199769681
35,Barcelona,Andreas Christensen,1093,0.0335077860114705
202,Atlético de Madrid,Stefan Savic,724,0.0326976820400823
367,Valencia CF,Yarek Gasiorowski,273,0.0316965844945996
397,Osasuna,David García,1620,0.0313504724488683
135,Real Sociedad,Igor Zubeldia,1591,0.0310177732047696
29,Las Palmas,Saúl Coco,1206,0.0309627078430386
60,Valencia CF,Gabriel Paulista,1151,0.0274690106600698
264,Barcelona,Eric García,1279,0.0260526508300152
213,Athletic Club,Aitor Paredes,1606,0.0250977006222641
294,Alavés,Nahuel Tenaglia,292,0.0244125991250916
123,Mallorca,Matija Nastasic,1177,0.0182008048486584
308,Valencia CF,Cenk Özkacar,587,0.0171669979418229
11,Real Madrid,Antonio Rüdiger,1570,0.0160054799817069
410,Alavés,Abdelkabir Abqar,1255,0.0156619915464954
156,Real Sociedad,Robin Le Normand,1407,0.014771153906095
162,Sevilla,Nemanja Gudelj,1378,0.0147357010978394
19,Cádiz,Luis Hernández,632,0.0144878085908814
315,Rayo Vallecano,Abdul Mumin,795,0.0124392297538769
246,Granada CF,Raúl Torrente,1033,0.0122763116251644
263,Real Betis,Luiz Felipe,360,0.0095836897946334
53,Mallorca,Siebe Van der Heyden,274,0.0060653031122426
106,Getafe,Domingos Duarte,759,0.0057592428047715
240,Celta de Vigo,Carlos Domínguez,492,0.0048634940140607
303,Cádiz,Victor Chust,362,0.0047004068307307
205,Villarreal,Matteo Gabbia,478,0.0041119248190322
195,Atlético de Madrid,José Giménez,651,0.0026953886824207
295,Villarreal,Aïssa Mandi,645,0.002324540025251
254,Getafe,Omar Alderete,638,0.0019641632073429
118,Almería,Kaiky,430,0.0017539801263276
245,Celta de Vigo,Joseph Aidoo,407,0.0005672729068402
184,Osasuna,Jorge Herrando,215,0.0004130935817093
333,Girona,Juanpe,275,0.0001148808765641
