player_id,pass_ec_mean,pass_ec_std,xthreat_ec_mean,xthreat_ec_std,difference_ec_mean,difference_ec_std,player_team,player_minute,player_position,player_name
42670,0.299900703604227,0.0674377181398359,0.2163495577252073,0.1540228662600794,-0.0835511458790196,0.1744612714111675,Athletic Club,981,defender,Yuri Berchiche
220325,0.3683787713822325,0.0934273259106553,0.0842967284521932,0.1200576510407219,-0.2840820429300392,0.1730546667228154,Barcelona,1251,defender,Jules Koundé
227164,0.2864626274006385,0.0718737323329244,0.0925712527280234,0.1527548299498996,-0.193891374672615,0.1752353669048967,Mallorca,571,midfielder,Manu Morlanes
431644,0.3973282946535483,0.0616046951667772,0.063367159048897,0.06688814771609,-0.3339611356046513,0.0944790103739185,Alavés,1575,midfielder,Ander Guevara
515621,0.323658657852596,0.0728055905307963,0.1216189854611842,0.201417777155316,-0.2020396723914117,0.2231034874393619,Real Betis,1104,defender,Chadi Riad
219271,0.2302544959291627,0.0999565331737625,0.3715326318976854,0.1584126383429298,0.1412781359685226,0.1699160426669823,Real Sociedad,1419,striker,Takefusa Kubo
213431,0.3289423718209779,0.0980800755520697,0.0887357891794916,0.1587158889484098,-0.2402065826414863,0.1759089795554268,Atlético de Madrid,1492,defender,Mario Hermoso
551086,0.1844601606566763,0.0645778016935695,0.3315838128401691,0.149914604316144,0.1471236521834928,0.134458099985022,Barcelona,520,striker,Fermín López
192364,0.2432162889906697,0.0919307537705692,0.3644310471581156,0.187019863140336,0.1212147581674459,0.2062650297675438,Atlético de Madrid,1277,midfielder,Marcos Llorente
94878,0.1470606136239415,0.0708623039500557,0.0175699699485975,0.0318918839284469,-0.129490643675344,0.0717984410462871,Rayo Vallecano,1710,goalkeeper,Stole Dimitrievski
102380,0.2885363308581046,0.07928324412412,0.0160054799817069,0.0204169262392089,-0.2725308508763978,0.0847396629085964,Real Madrid,1570,defender,Antonio Rüdiger
434941,0.3296351275654305,0.0941497129958434,0.3231169789487311,0.1612591200912113,-0.0065181486166994,0.1884943008040782,Alavés,1508,midfielder,Luis Rioja
234580,0.0997014680666854,0.0681620434403309,0.0085184890006846,0.0116170173752632,-0.0911829790660007,0.0672663009525661,Celta de Vigo,835,goalkeeper,Iván Villar
37064,0.3289193527648401,0.0224145938841303,0.1642419710345537,0.1213320752304619,-0.1646773817302863,0.1426112429486901,Real Betis,352,midfielder,Andrés Guardado
59859,0.3435122615718806,0.1066410377286142,0.156537006872039,0.1337934797313798,-0.1869752546998415,0.1939095246128854,Barcelona,1567,midfielder,Ilkay Gündogan
106824,0.185059390293966,0.0225641682649071,0.4531430669349777,0.0899033578943177,0.2680836766410116,0.0673391896294106,Atlético de Madrid,276,striker,Memphis Depay
223757,0.5402765960633307,0.040816157176556,0.3471278936099239,0.1120489122222942,-0.1931487024534066,0.0712327550457382,Getafe,309,midfielder,Óscar Rodríguez
130025,0.3247713709356876,0.0950398742787747,0.0144878085908814,0.0222466704031055,-0.3102835623448062,0.0883034720238495,Cádiz,632,defender,Luis Hernández
222628,0.2012549727147013,0.0861042792869243,0.0244433635480887,0.0429710602581055,-0.1768116091666126,0.0727178587368397,Almería,1530,goalkeeper,Luís Maximiano
464283,0.2638711380781537,0.084967852449399,0.1956123030199339,0.2236280638011817,-0.0682588350582198,0.1870559463791129,Getafe,797,defender,Juan Iglesias
93203,0.2922912651968852,0.0854605480055126,0.0390390340962495,0.0508855243003301,-0.2532522311006357,0.1086961743677318,Osasuna,1005,defender,Juan Cruz
40721,0.3913511679881835,0.0538489697610649,0.354575061087886,0.1519405004216243,-0.0367761069002974,0.1744399560105234,Rayo Vallecano,676,striker,Óscar Trejo
198499,0.2346878299069649,0.0823312725811665,0.2190520297444464,0.2442329608591568,-0.0156358001625184,0.241331450637564,Getafe,1696,midfielder,Nemanja Maksimovic
77390,0.4191305255050065,0.0658153496014316,0.0481476516525325,0.0344691428594073,-0.3709828738524739,0.0548251239006565,Atlético de Madrid,1178,midfielder,Koke
470511,0.3034020885729298,0.0007477937333394,0.0350741199769681,0.0214179781203113,-0.2683279685959616,0.0207615295842374,Athletic Club,259,defender,Imanol García de Albéniz
197334,0.2692958877699583,0.0759697839848912,0.4956203886692729,0.1721396601927357,0.2263245008993145,0.185810650674793,Athletic Club,1569,midfielder,Iñaki Williams
185126,0.2363047770717636,0.0807510385998202,0.5160638981392902,0.178646081993953,0.2797591210675266,0.1838149349862691,Mallorca,853,striker,Cyle Larin
451565,0.3200630519369374,0.1087430697440232,0.0309627078430386,0.0869440816307663,-0.2891003440938988,0.0978218968934091,Las Palmas,1206,defender,Saúl Coco
460265,0.2221204225458228,0.0666026798175582,0.3799600808848201,0.2847328567533623,0.1578396583389973,0.2236179684015541,Cádiz,386,midfielder,Robert Navarro
447091,0.1114308957102386,0.0716944390347986,0.0253495314182708,0.0253322818969823,-0.0860813642919677,0.0463621571378162,Real Betis,225,goalkeeper,Fran Vieites
115860,0.3274666290879517,0.084056608661001,0.3372157317373139,0.2115787544450419,0.0097491026493622,0.2642048649549239,Sevilla,759,midfielder,Óliver Torres
78056,0.3266607551991609,0.0647921511429236,0.0438753995923637,0.0283004856211743,-0.2827853556067972,0.0556953460253995,Barcelona,658,midfielder,Oriol Romeu
135363,0.3995783154797155,0.0975513838868098,0.0335077860114705,0.0919329680679984,-0.366070529468245,0.1251647037867551,Barcelona,1093,defender,Andreas Christensen
119141,0.3912567370996079,0.0613431072440168,0.1922664344938567,0.1889062153418846,-0.1989903026057511,0.1970276667495408,Atlético de Madrid,1012,midfielder,Rodrigo De Paul
