codigo	tipo	equipo	player	x	y	min	sec	period	partido	nombre_equipo	nombre_jugador	outcome	fase	tipo	end_x	end_y	extra
1	pase	1564	469402	24.6	26.2	2	7	1	2372222	Almería	Edgar González	1	0	0	34.1	24.1	0
61	toco_balon	1564	433952	30.1	17.6	2	9	1	2372222	Almería	Largie Ramazani	0	0	0	0	0	0
49	recuperacion_balon	184	433161	70.4	90.4	2	10	1	2372222	Rayo Vallecano	Óscar Valentín	1	0	0	0	0	0
1	pase	184	433161	70.4	90.4	2	10	1	2372222	Rayo Vallecano	Óscar Valentín	1	0	0	58.7	90.8	0
1	pase_fallado	184	178424	52.8	94.6	2	13	1	2372222	Rayo Vallecano	Alfonso Espino	0	0	0	53.4	92.1	0
61	toco_balon	1564	441293	42.5	7.4	2	13	1	2372222	Almería	Lázaro	1	0	0	0	0	0
1	pase	184	183462	47.2	83	2	15	1	2372222	Rayo Vallecano	Unai López	1	0	0	29.2	53.1	0
1	pase	184	89399	28.5	47.8	2	18	1	2372222	Rayo Vallecano	Aridane Hernández	1	0	0	43.6	4.2	0
1	pase	184	97624	64	4.5	2	25	1	2372222	Rayo Vallecano	Iván Balliu	1	0	0	63.1	11.6	0
1	pase	184	434078	58.3	7.2	2	28	1	2372222	Rayo Vallecano	Isi Palazón	1	0	0	43.9	16.7	0
1	pase	184	183462	44.1	26.3	2	31	1	2372222	Rayo Vallecano	Unai López	1	0	0	40.3	64.1	0
1	pase	184	77359	42.4	67.4	2	34	1	2372222	Rayo Vallecano	Florian Lejeune	1	0	0	58.3	94.6	0
1	pase	184	178424	58.9	91.7	2	36	1	2372222	Rayo Vallecano	Alfonso Espino	1	0	0	59.2	72.5	0
1	pase	184	433161	59.2	71.7	2	37	1	2372222	Rayo Vallecano	Óscar Valentín	1	0	0	55.9	82.3	0
1	pase	184	178424	55.6	81.5	2	38	1	2372222	Rayo Vallecano	Alfonso Espino	1	0	0	45.1	50.4	0
1	pase	184	89399	45.1	49.6	2	40	1	2372222	Rayo Vallecano	Aridane Hernández	1	0	0	56.5	27	0
1	pase	184	183462	61.2	14.3	2	45	1	2372222	Rayo Vallecano	Unai López	1	0	0	59	5.6	0
1	pase	184	97624	60.4	8	2	46	1	2372222	Rayo Vallecano	Iván Balliu	1	0	0	52.6	33.1	0
1	pase	184	89399	53.6	44.4	2	51	1	2372222	Rayo Vallecano	Aridane Hernández	1	0	0	58.9	76.3	0
1	pase	184	433161	58.4	78.3	2	56	1	2372222	Rayo Vallecano	Óscar Valentín	1	0	0	46.4	70.5	0
1	pase	184	77359	45.5	67.2	2	59	1	2372222	Rayo Vallecano	Florian Lejeune	1	0	0	46.8	31.7	0
1	pase	184	183462	59.8	26.6	3	3	1	2372222	Rayo Vallecano	Unai López	1	0	0	66.4	5.2	0
1	pase	184	434078	69.1	4.2	3	8	1	2372222	Rayo Vallecano	Isi Palazón	1	0	0	80.3	4.7	0
1	pase	184	97624	82.4	4.5	3	11	1	2372222	Rayo Vallecano	Iván Balliu	1	0	0	91.9	44.2	0
13	ocasion_fuera	184	449300	93.5	42.9	3	12	1	2372222	Rayo Vallecano	Randy Nteka	1	22	0	0	0	0
5	balon_fuera	1564	469402	0	61.9	3	13	1	2372222	Almería	Edgar González	1	0	346	0	0	0
5	balon_fuera	184	449300	100	38.1	3	13	1	2372222	Rayo Vallecano	Randy Nteka	0	0	346	0	0	0
1	pase	1564	76611	4.6	53.1	3	40	1	2372222	Almería	Diego Mariño	1	0	0	7.3	27.6	0
1	pase	1564	469402	7.3	27.6	3	42	1	2372222	Almería	Edgar González	1	0	0	10.6	8.5	0
1	pase_fallado	1564	234548	10.8	8.6	3	44	1	2372222	Almería	Álex Pozo	0	0	0	12.4	8.8	0
61	toco_balon	184	165682	72.8	88	3	44	1	2372222	Rayo Vallecano	Álvaro García	1	0	0	0	0	0
1	pase	184	178424	58.2	87	3	48	1	2372222	Rayo Vallecano	Alfonso Espino	1	0	0	59	72.3	0
1	pase_fallado	184	434078	58.8	70.7	3	49	1	2372222	Rayo Vallecano	Isi Palazón	0	0	0	59.2	60.7	0
1	pase_fallado	1564	433952	53.7	41.8	3	53	1	2372222	Almería	Largie Ramazani	0	0	0	68.7	51.8	0
61	toco_balon	184	89399	29.6	50.9	3	54	1	2372222	Rayo Vallecano	Aridane Hernández	1	0	0	0	0	0
49	recuperacion_balon	184	434078	42.9	48.6	3	55	1	2372222	Rayo Vallecano	Isi Palazón	1	0	0	0	0	0
1	pase	184	434078	45	46	3	58	1	2372222	Rayo Vallecano	Isi Palazón	1	0	0	45.8	20.5	0
1	pase	184	97624	61.8	6.5	4	3	1	2372222	Rayo Vallecano	Iván Balliu	1	0	0	63.6	19.2	0
1	pase	184	434078	60.6	23	4	5	1	2372222	Rayo Vallecano	Isi Palazón	1	0	0	52.5	29.7	0
1	pase	184	183462	52.8	31	4	7	1	2372222	Rayo Vallecano	Unai López	1	0	0	42.7	67.6	0
1	pase	184	77359	42.7	69.4	4	11	1	2372222	Rayo Vallecano	Florian Lejeune	1	0	0	54.9	75	0
1	pase	184	40721	55.1	77	4	11	1	2372222	Rayo Vallecano	Óscar Trejo	1	0	0	44.3	69	0
1	pase	184	77359	44.3	69	4	13	1	2372222	Rayo Vallecano	Florian Lejeune	1	0	0	54.5	90.9	0
1	pase	184	178424	54.1	79	4	15	1	2372222	Rayo Vallecano	Alfonso Espino	1	0	0	36.4	8.7	0
1	pase	184	183462	36.4	7.1	4	20	1	2372222	Rayo Vallecano	Unai López	1	0	0	48.7	2.5	0
1	pase	184	97624	48.7	2.5	4	22	1	2372222	Rayo Vallecano	Iván Balliu	1	0	0	42	6.9	0
1	pase	184	183462	41.8	12	4	24	1	2372222	Rayo Vallecano	Unai López	1	0	0	34.5	67.6	0
1	pase	184	77359	38.9	70.3	4	28	1	2372222	Rayo Vallecano	Florian Lejeune	1	0	0	67.4	94.4	0
1	pase	184	165682	68.8	94.4	4	30	1	2372222	Rayo Vallecano	Álvaro García	1	0	0	64.8	87.5	0
1	pase	184	40721	66.4	89.3	4	34	1	2372222	Rayo Vallecano	Óscar Trejo	1	0	0	73.2	85.7	0
1	pase	184	178424	73.4	85.1	4	35	1	2372222	Rayo Vallecano	Alfonso Espino	1	0	0	73.1	89.3	0
1	pase	184	40721	73.1	89.9	4	36	1	2372222	Rayo Vallecano	Óscar Trejo	1	0	0	83	93.7	0
