,player_team,player_name,player_minute,pass_ec_mean
81,Real Betis,Ayoze Pérez,1451,0.2502063343056359
432,Villarreal,Ramon Terrats,615,0.2475211547141742
116,Girona,Yan Couto,1156,0.2452549255105766
209,Celta de Vigo,Franco Cervi,432,0.2437017986932518
9,Atlético de Madrid,Marcos Llorente,1277,0.2432162889906697
175,Atlético de Madrid,Saúl Ñíguez,808,0.2427808558302263
222,Alavés,Xeber Alkain,272,0.2420002617413036
132,Villarreal,Yeremy Pino,479,0.2418832514449994
385,Alavés,Abderrahmane Rebbach,578,0.2416369637893617
434,Las Palmas,Javi Muñoz,1349,0.2404232368698312
136,Real Madrid,Brahim Díaz,539,0.2404076641668636
406,Valencia CF,Fran Pérez,1264,0.2396089079267834
288,Athletic Club,Alex Berenguer,651,0.2395910245975142
376,Atlético de Madrid,Rodrigo Riquelme,746,0.2388310202197992
261,Villarreal,Kiko Femenía,209,0.2380789145868604
412,Sevilla,Erik Lamela,338,0.2378770646275471
74,Las Palmas,Alberto Moleiro,520,0.2376154702205311
287,Atlético de Madrid,Samuel Lino,899,0.2363418886367739
24,Getafe,Nemanja Maksimovic,1696,0.2346878299069649
109,Granada CF,Bryan Zaragoza,1380,0.2328101018426865
152,Valencia CF,Selim Amallah,487,0.2312512688508576
340,Athletic Club,Beñat Prados,406,0.2306394522731697
317,Barcelona,Gavi,943,0.2302012528779396
150,Granada CF,José Callejón,538,0.227708134989676
233,Real Betis,Abde Ezzalzouli,570,0.2269179696775308
270,Valencia CF,Javi Guerra,1315,0.2256717705139262
31,Cádiz,Robert Navarro,386,0.2221204225458228
100,Villarreal,Ilias Akhomach,644,0.220729463804587
319,Real Betis,Assane Diao,798,0.2196848743134719
403,Almería,Sergio Arribas,1335,0.2189556581819815
387,Girona,Viktor Tsygankov,990,0.2165473578587555
114,Valencia CF,Diego López,1357,0.2161025462149919
167,Granada CF,Antonio Puertas,603,0.21440800147379
312,Girona,Sávio,1571,0.2117550987575775
413,Girona,Yangel Herrera,1097,0.2106593270184217
364,Real Sociedad,Arsen Zakharyan,475,0.2094110921840924
286,Valencia CF,Sergi Canós,497,0.1971094856361264
276,Almería,Arnau Puigmal,248,0.1953259778440248
389,Rayo Vallecano,Jorge de Frutos,585,0.1948936448509162
325,Las Palmas,Marvin Park,652,0.1945790456189179
275,Girona,Valery Fernández,360,0.1866387248217459
42,Real Sociedad,Beñat Turrientes,580,0.1862706023731235
310,Las Palmas,Pejiño,429,0.1779116383014954
272,Almería,Largie Ramazani,1077,0.1660866126838336
149,Las Palmas,Munir El Haddadi,1413,0.1644150417709316
417,Almería,Lázaro,247,0.112954196168244
