,player_team,player_name,player_minute,xthreat_ec_mean
128,Las Palmas,Kirian Rodríguez,1511,0.1040868606378296
40,Granada CF,Sergio Ruiz,1052,0.1012862436318513
417,Almería,Lázaro,247,0.0995834718214246
153,Granada CF,Gonzalo Villar,937,0.0987560979491907
411,Villarreal,Étienne Capoue,1141,0.0979177800186262
261,Villarreal,Kiko Femenía,209,0.0970134958375472
2,Mallorca,Manu Morlanes,571,0.0925712527280234
137,Almería,Iddrisu Baba,966,0.0882152004033534
44,Osasuna,Iker Muñoz,709,0.0857186051422606
399,Girona,Aleix García,1790,0.0849690985320443
415,Real Sociedad,Martín Zubimendi,1697,0.0835506740689247
265,Rayo Vallecano,Unai López,1007,0.0828543121843197
155,Granada CF,Gerard Gumbau,1430,0.0817137516487823
164,Celta de Vigo,Hugo Sotelo,305,0.0807310700909711
232,Sevilla,Fernando,459,0.0803507675744174
404,Real Betis,Sergi Altimira,284,0.0744662420271916
242,Barcelona,Frenkie de Jong,936,0.0728098433092311
241,Alavés,Antonio Blanco,1161,0.0713380838861082
177,Athletic Club,Ander Herrera,585,0.0662888003236789
3,Alavés,Ander Guevara,1575,0.063367159048897
193,Villarreal,Dani Parejo,1577,0.0627178532888183
363,Real Betis,William Carvalho,324,0.0590003316521117
234,Getafe,Luis Milla,631,0.0577193571679936
69,Celta de Vigo,Carlos Dotor,505,0.0496687603519913
25,Atlético de Madrid,Koke,1178,0.0481476516525325
237,Athletic Club,Dani García,399,0.0477207889600884
340,Athletic Club,Beñat Prados,406,0.0471660674326111
342,Cádiz,Rubén Alcaraz,1518,0.0450319103302542
62,Real Betis,Guido Rodríguez,1076,0.0440878629404365
34,Barcelona,Oriol Romeu,658,0.0438753995923637
271,Real Betis,Marc Roca,1429,0.0428974561168502
314,Valencia CF,Pepelu,1685,0.0414132710708867
180,Rayo Vallecano,Óscar Valentín,1404,0.0408657040798201
124,Las Palmas,Máximo Perrone,745,0.0397838586869526
348,Sevilla,Boubakary Soumaré,792,0.0387344144029574
299,Almería,Dion Lopy,1275,0.0375724630093548
307,Real Madrid,Aurélien Tchouaméni,981,0.0365767926748265
159,Mallorca,Omar Mascarell,638,0.0355659783400483
51,Getafe,Mauro Arambarri,337,0.0332561251180289
280,Celta de Vigo,Fran Beltrán,1095,0.0328270840801177
221,Real Madrid,Toni Kroos,1210,0.0317687497839152
329,Cádiz,Rominigue Kouamé,462,0.0293523336043081
119,Alavés,Carlos Benavídez,390,0.0273267478814492
105,Sevilla,Joan Jordán,255,0.0271622038109357
122,Getafe,Djené Dakonam,1143,0.0222361732142204
107,Celta de Vigo,Renato Tapia,647,0.0185944582887669
