,player_team,player_name,player_minute,difference_ec_mean
2,Mallorca,Manu Morlanes,571,-0.193891374672615
115,Athletic Club,Mikel Vesga,1052,-0.1954508069744999
36,Atlético de Madrid,Rodrigo De Paul,1012,-0.1989903026057511
404,Real Betis,Sergi Altimira,284,-0.2073927131423816
40,Granada CF,Sergio Ruiz,1052,-0.2076423277600591
237,Athletic Club,Dani García,399,-0.2121588506530008
354,Athletic Club,Íñigo Ruíz de Galarreta,1222,-0.2174069733376181
411,Villarreal,Étienne Capoue,1141,-0.2185378000861217
37,Real Madrid,Eduardo Camavinga,751,-0.2206119437068171
153,Granada CF,Gonzalo Villar,937,-0.2341205728035691
62,Real Betis,Guido Rodríguez,1076,-0.236215409680758
119,Alavés,Carlos Benavídez,390,-0.2413263492383771
139,Almería,Lucas Robertone,1149,-0.2472329329637373
299,Almería,Dion Lopy,1275,-0.2542582678775933
155,Granada CF,Gerard Gumbau,1430,-0.2566504096233898
241,Alavés,Antonio Blanco,1161,-0.2575537317668041
232,Sevilla,Fernando,459,-0.2579186851290832
180,Rayo Vallecano,Óscar Valentín,1404,-0.258527281327404
44,Osasuna,Iker Muñoz,709,-0.2628167110103986
159,Mallorca,Omar Mascarell,638,-0.2645122657903563
105,Sevilla,Joan Jordán,255,-0.2673588127038628
51,Getafe,Mauro Arambarri,337,-0.2685789166223378
122,Getafe,Djené Dakonam,1143,-0.2693415402615032
329,Cádiz,Rominigue Kouamé,462,-0.2709494689615088
164,Celta de Vigo,Hugo Sotelo,305,-0.2819550361193524
34,Barcelona,Oriol Romeu,658,-0.2827853556067972
234,Getafe,Luis Milla,631,-0.2909735569110331
348,Sevilla,Boubakary Soumaré,792,-0.2940800622126078
193,Villarreal,Dani Parejo,1577,-0.2967738975068761
107,Celta de Vigo,Renato Tapia,647,-0.2981021211482645
280,Celta de Vigo,Fran Beltrán,1095,-0.2985053892937766
69,Celta de Vigo,Carlos Dotor,505,-0.3006434937775842
314,Valencia CF,Pepelu,1685,-0.3060475103599954
307,Real Madrid,Aurélien Tchouaméni,981,-0.3081035094463933
265,Rayo Vallecano,Unai López,1007,-0.3098573987174893
342,Cádiz,Rubén Alcaraz,1518,-0.3112873580462424
399,Girona,Aleix García,1790,-0.3147573875335009
271,Real Betis,Marc Roca,1429,-0.3220108236700652
128,Las Palmas,Kirian Rodríguez,1511,-0.3287338320341924
3,Alavés,Ander Guevara,1575,-0.3339611356046513
177,Athletic Club,Ander Herrera,585,-0.3487077922864067
124,Las Palmas,Máximo Perrone,745,-0.3559131041888358
242,Barcelona,Frenkie de Jong,936,-0.3661634812301031
25,Atlético de Madrid,Koke,1178,-0.3709828738524739
363,Real Betis,William Carvalho,324,-0.3715775593716619
221,Real Madrid,Toni Kroos,1210,-0.3859553660236895
